Code,Name,LAD code,Borough,Total Mean Annual Household Income estimate,Total Median Annual Household Income estimate
E01000001,City of London 001A,E09000001,City of London,74846.18 ,58347.32 
E01000002,City of London 001B,E09000001,City of London,73325.39 ,57159.50 
E01000003,City of London 001C,E09000001,City of London,44130.31 ,34386.56 
E01000005,City of London 001E,E09000001,City of London,30780.84 ,23999.85 
E01032739,City of London 001F,E09000001,City of London,68021.74 ,53017.04 
E01032740,City of London 001G,E09000001,City of London,67266.44 ,52427.11 
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,46141.12 ,39140.64 
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,30821.83 ,26228.95 
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,28358.78 ,24203.85 
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,38261.38 ,32464.43 
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,37276.77 ,31630.20 
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,33132.74 ,28128.96 
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,32616.73 ,27704.71 
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,32741.97 ,27807.67 
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,32307.84 ,27450.74 
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,31524.50 ,26806.68 
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,33564.26 ,28483.76 
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,32478.52 ,27591.07 
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33842.83 ,28720.74 
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33769.65 ,28658.74 
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,33994.94 ,28849.62 
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,30889.85 ,26284.88 
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,35700.45 ,30294.65 
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,33985.84 ,28841.91 
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,33338.12 ,28297.83 
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,34076.04 ,28918.34 
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,31995.11 ,27193.61 
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,30915.21 ,26305.73 
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,43034.48 ,36508.50 
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,29507.79 ,25148.56 
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,47995.05 ,40711.41 
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,40235.91 ,34137.37 
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,30599.78 ,26046.38 
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,36749.26 ,31183.26 
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,37206.44 ,31570.62 
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,43059.38 ,36529.59 
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,52890.74 ,44859.35 
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,46890.88 ,39775.88 
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,45152.74 ,38303.23 
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,32533.42 ,27636.21 
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33989.52 ,28845.04 
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,30690.03 ,26120.59 
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,33451.96 ,28391.43 
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,35327.16 ,29978.37 
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,34782.87 ,29517.21 
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,32992.34 ,28013.53 
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,24120.71 ,20719.34 
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,27742.90 ,23697.48 
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,32048.96 ,27237.89 
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,23806.13 ,20460.69 
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,32774.62 ,27834.52 
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,31904.28 ,27118.94 
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,34016.79 ,28868.14 
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,34377.96 ,29174.14 
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,32965.17 ,27991.19 
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,33159.47 ,28150.95 
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,34157.03 ,28986.96 
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,32946.95 ,27976.21 
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,32336.80 ,27474.55 
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,24440.46 ,20982.24 
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,34748.09 ,29487.74 
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,32681.45 ,27757.92 
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,32736.24 ,27802.97 
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,31645.16 ,26905.89 
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,43556.54 ,36950.82 
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,47083.59 ,39939.16 
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,50176.11 ,42559.35 
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,55729.18 ,47264.26 
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,52181.46 ,44258.40 
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,46041.24 ,39056.02 
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,29630.65 ,25249.57 
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,33156.58 ,28148.56 
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,32664.59 ,27744.05 
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,34042.56 ,28889.97 
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,31347.65 ,26661.28 
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,31502.62 ,26788.69 
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,30616.26 ,26059.94 
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,32164.99 ,27333.29 
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,31995.17 ,27193.66 
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,33174.33 ,28163.16 
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,33237.05 ,28214.73 
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,32007.94 ,27204.16 
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,32285.48 ,27432.35 
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,30099.83 ,25635.33 
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,34128.16 ,28962.50 
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,32352.11 ,27487.14 
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,37771.29 ,32049.19 
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,34417.01 ,29207.23 
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,36848.75 ,31267.56 
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,27764.70 ,23715.40 
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,37556.27 ,31867.01 
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,28561.26 ,24370.33 
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,39146.31 ,33214.20 
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,41482.15 ,35193.27 
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,27221.44 ,23268.74 
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,33007.91 ,28026.33 
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,32142.95 ,27315.17 
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,35177.54 ,29851.60 
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,32847.65 ,27894.56 
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,31902.33 ,27117.33 
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,33670.32 ,28574.59 
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,30851.68 ,26253.50 
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,29854.35 ,25433.50 
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,29802.71 ,25391.04 
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,29731.55 ,25332.53 
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,38576.82 ,32731.69 
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,37288.98 ,31640.54 
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,39616.86 ,33612.88 
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,52663.79 ,44667.06 
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,34684.76 ,29434.09 
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,40826.75 ,34637.97 
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,42390.85 ,35963.18 
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,38957.45 ,33054.18 
E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,32535.19 ,27637.67 
E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,31534.95 ,26815.27 
E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,31161.46 ,26508.20 
E01000115,Barnet 009A,E09000003,Barnet,59116.10 ,45901.98 
E01000116,Barnet 009B,E09000003,Barnet,44695.57 ,34694.55 
E01000117,Barnet 010A,E09000003,Barnet,42225.14 ,32774.18 
E01000118,Barnet 010B,E09000003,Barnet,42960.02 ,33345.70 
E01000119,Barnet 009C,E09000003,Barnet,51811.37 ,40224.85 
E01000120,Barnet 009D,E09000003,Barnet,54528.05 ,42336.22 
E01000121,Barnet 010C,E09000003,Barnet,31341.87 ,24342.56 
E01000122,Barnet 009E,E09000003,Barnet,50236.80 ,39001.11 
E01000123,Barnet 010D,E09000003,Barnet,40482.01 ,31423.72 
E01000124,Barnet 010E,E09000003,Barnet,33547.57 ,26051.38 
E01000125,Barnet 024A,E09000003,Barnet,29106.06 ,22610.40 
E01000126,Barnet 026A,E09000003,Barnet,28229.45 ,21931.27 
E01000127,Barnet 024B,E09000003,Barnet,28760.26 ,22342.50 
E01000128,Barnet 024C,E09000003,Barnet,31055.43 ,24120.64 
E01000129,Barnet 024D,E09000003,Barnet,27616.64 ,21456.50 
E01000130,Barnet 021A,E09000003,Barnet,32089.26 ,24921.58 
E01000131,Barnet 024E,E09000003,Barnet,35659.60 ,27687.64 
E01000132,Barnet 021B,E09000003,Barnet,30654.83 ,23810.29 
E01000133,Barnet 021C,E09000003,Barnet,29502.02 ,22917.17 
E01000134,Barnet 024F,E09000003,Barnet,31374.47 ,24367.81 
E01000135,Barnet 038A,E09000003,Barnet,58099.86 ,45112.17 
E01000136,Barnet 038B,E09000003,Barnet,89526.55 ,69536.56 
E01000137,Barnet 041A,E09000003,Barnet,32416.60 ,25175.18 
E01000138,Barnet 040A,E09000003,Barnet,38320.83 ,29749.38 
E01000139,Barnet 041B,E09000003,Barnet,50785.12 ,39427.26 
E01000140,Barnet 041C,E09000003,Barnet,40012.62 ,31060.06 
E01000141,Barnet 039A,E09000003,Barnet,32813.90 ,25482.98 
E01000142,Barnet 040B,E09000003,Barnet,37952.12 ,29463.73 
E01000143,Barnet 041D,E09000003,Barnet,29843.03 ,23181.36 
E01000144,Barnet 038C,E09000003,Barnet,54338.69 ,42189.04 
E01000145,Barnet 037A,E09000003,Barnet,53002.15 ,41150.30 
E01000146,Barnet 038D,E09000003,Barnet,43571.29 ,33820.77 
E01000147,Barnet 030A,E09000003,Barnet,38452.84 ,29851.66 
E01000148,Barnet 030B,E09000003,Barnet,29531.74 ,22940.19 
E01000150,Barnet 036A,E09000003,Barnet,36188.30 ,28097.25 
E01000151,Barnet 026B,E09000003,Barnet,25214.86 ,19595.77 
E01000152,Barnet 026C,E09000003,Barnet,26720.17 ,20761.97 
E01000153,Barnet 026D,E09000003,Barnet,27696.79 ,21518.60 
E01000154,Barnet 026E,E09000003,Barnet,26170.23 ,20335.92 
E01000155,Barnet 030D,E09000003,Barnet,33295.05 ,25855.75 
E01000156,Barnet 022A,E09000003,Barnet,48360.88 ,37543.17 
E01000157,Barnet 022B,E09000003,Barnet,39311.30 ,30516.73 
E01000158,Barnet 015A,E09000003,Barnet,40171.23 ,31182.94 
E01000159,Barnet 015B,E09000003,Barnet,42276.72 ,32814.13 
E01000160,Barnet 015C,E09000003,Barnet,53257.31 ,41348.61 
E01000161,Barnet 015D,E09000003,Barnet,40177.30 ,31187.65 
E01000162,Barnet 015E,E09000003,Barnet,39405.95 ,30590.06 
E01000163,Barnet 022C,E09000003,Barnet,32192.18 ,25001.32 
E01000164,Barnet 022D,E09000003,Barnet,34318.43 ,26648.59 
E01000165,Barnet 022E,E09000003,Barnet,44154.94 ,34274.37 
E01000166,Barnet 003A,E09000003,Barnet,41934.37 ,32548.91 
E01000167,Barnet 002A,E09000003,Barnet,34465.75 ,26762.73 
E01000168,Barnet 003B,E09000003,Barnet,60097.01 ,46664.33 
E01000169,Barnet 003C,E09000003,Barnet,45002.06 ,34932.74 
E01000170,Barnet 006A,E09000003,Barnet,38395.83 ,29807.49 
E01000171,Barnet 006B,E09000003,Barnet,36279.51 ,28167.91 
E01000172,Barnet 003D,E09000003,Barnet,50200.88 ,38973.20 
E01000173,Barnet 006C,E09000003,Barnet,48296.13 ,37492.85 
E01000174,Barnet 006D,E09000003,Barnet,37349.38 ,28996.77 
E01000175,Barnet 006E,E09000003,Barnet,51978.08 ,40354.41 
E01000176,Barnet 027A,E09000003,Barnet,33281.32 ,25845.11 
E01000177,Barnet 029A,E09000003,Barnet,54454.51 ,42279.06 
E01000178,Barnet 027B,E09000003,Barnet,52135.18 ,40476.51 
E01000179,Barnet 029B,E09000003,Barnet,52005.46 ,40375.69 
E01000180,Barnet 029C,E09000003,Barnet,41027.08 ,31846.01 
E01000181,Barnet 029D,E09000003,Barnet,61776.17 ,47969.35 
E01000182,Barnet 029E,E09000003,Barnet,58841.33 ,45688.43 
E01000183,Barnet 033A,E09000003,Barnet,60789.45 ,47202.49 
E01000184,Barnet 027C,E09000003,Barnet,31959.05 ,24820.71 
E01000185,Barnet 029F,E09000003,Barnet,28701.79 ,22297.20 
E01000186,Barnet 014A,E09000003,Barnet,62119.95 ,48236.53 
E01000187,Barnet 014B,E09000003,Barnet,42228.97 ,32777.14 
E01000188,Barnet 014C,E09000003,Barnet,64562.31 ,50134.70 
E01000189,Barnet 014D,E09000003,Barnet,26703.86 ,20749.34 
E01000190,Barnet 014E,E09000003,Barnet,55604.89 ,43173.12 
E01000191,Barnet 014F,E09000003,Barnet,60040.48 ,46620.40 
E01000192,Barnet 018A,E09000003,Barnet,43858.18 ,34043.74 
E01000193,Barnet 018B,E09000003,Barnet,46787.14 ,36320.08 
E01000194,Barnet 018C,E09000003,Barnet,37241.82 ,28913.44 
E01000195,Barnet 013A,E09000003,Barnet,30486.42 ,23679.82 
E01000196,Barnet 028A,E09000003,Barnet,42043.92 ,32633.78 
E01000197,Barnet 023A,E09000003,Barnet,46650.37 ,36213.79 
E01000198,Barnet 025A,E09000003,Barnet,54617.81 ,42405.97 
E01000199,Barnet 025B,E09000003,Barnet,63631.02 ,49410.91 
E01000200,Barnet 028B,E09000003,Barnet,55222.67 ,42876.06 
E01000201,Barnet 028C,E09000003,Barnet,74514.46 ,57869.38 
E01000202,Barnet 028D,E09000003,Barnet,63147.87 ,49035.42 
E01000203,Barnet 028E,E09000003,Barnet,40473.65 ,31417.24 
E01000204,Barnet 025C,E09000003,Barnet,57149.43 ,44373.52 
E01000205,Barnet 035A,E09000003,Barnet,70782.86 ,54969.23 
E01000206,Barnet 033B,E09000003,Barnet,106845.60 ,82996.69 
E01000207,Barnet 033C,E09000003,Barnet,79329.33 ,61611.43 
E01000208,Barnet 033D,E09000003,Barnet,71119.54 ,55230.89 
E01000209,Barnet 035B,E09000003,Barnet,70645.93 ,54862.81 
E01000210,Barnet 033E,E09000003,Barnet,69664.87 ,54100.34 
E01000211,Barnet 035C,E09000003,Barnet,39980.20 ,31034.95 
E01000212,Barnet 035D,E09000003,Barnet,73891.97 ,57385.58 
E01000213,Barnet 033F,E09000003,Barnet,98526.70 ,76531.36 
E01000214,Barnet 038E,E09000003,Barnet,65945.57 ,51209.75 
E01000215,Barnet 037B,E09000003,Barnet,51050.84 ,39633.77 
E01000216,Barnet 035E,E09000003,Barnet,57943.93 ,44990.99 
E01000217,Barnet 035F,E09000003,Barnet,58918.58 ,45748.48 
E01000218,Barnet 037C,E09000003,Barnet,51465.77 ,39956.25 
E01000219,Barnet 037D,E09000003,Barnet,42215.35 ,32766.59 
E01000220,Barnet 037E,E09000003,Barnet,41962.15 ,32570.43 
E01000221,Barnet 039B,E09000003,Barnet,27933.56 ,21702.03 
E01000222,Barnet 040C,E09000003,Barnet,33218.12 ,25796.14 
E01000223,Barnet 039C,E09000003,Barnet,31156.96 ,24199.30 
E01000224,Barnet 040D,E09000003,Barnet,37461.69 ,29083.78 
E01000225,Barnet 037F,E09000003,Barnet,59993.50 ,46583.88 
E01000226,Barnet 018D,E09000003,Barnet,28538.44 ,22170.65 
E01000227,Barnet 018E,E09000003,Barnet,48611.77 ,37738.16 
E01000228,Barnet 007A,E09000003,Barnet,54473.18 ,42293.57 
E01000229,Barnet 013B,E09000003,Barnet,36445.18 ,28296.26 
E01000230,Barnet 013C,E09000003,Barnet,48206.65 ,37423.31 
E01000231,Barnet 013D,E09000003,Barnet,40103.65 ,31130.59 
E01000232,Barnet 013E,E09000003,Barnet,47558.07 ,36919.24 
E01000233,Barnet 013F,E09000003,Barnet,48879.90 ,37946.55 
E01000234,Barnet 021D,E09000003,Barnet,50174.39 ,38952.60 
E01000235,Barnet 021E,E09000003,Barnet,34790.80 ,27014.56 
E01000236,Barnet 034A,E09000003,Barnet,49965.79 ,38790.48 
E01000237,Barnet 032A,E09000003,Barnet,48120.36 ,37356.25 
E01000238,Barnet 034B,E09000003,Barnet,42310.41 ,32840.24 
E01000239,Barnet 031A,E09000003,Barnet,37609.50 ,29198.29 
E01000240,Barnet 031B,E09000003,Barnet,39954.07 ,31014.71 
E01000241,Barnet 031C,E09000003,Barnet,49761.66 ,38631.84 
E01000242,Barnet 032B,E09000003,Barnet,50802.35 ,39440.65 
E01000243,Barnet 032C,E09000003,Barnet,38492.33 ,29882.25 
E01000244,Barnet 032D,E09000003,Barnet,39920.83 ,30988.95 
E01000245,Barnet 032E,E09000003,Barnet,31050.41 ,24116.76 
E01000246,Barnet 002B,E09000003,Barnet,53917.74 ,41861.88 
E01000247,Barnet 002C,E09000003,Barnet,49129.41 ,38140.46 
E01000248,Barnet 001A,E09000003,Barnet,55748.44 ,43284.68 
E01000249,Barnet 001B,E09000003,Barnet,64126.13 ,49795.71 
E01000250,Barnet 001C,E09000003,Barnet,46232.54 ,35889.05 
E01000251,Barnet 002D,E09000003,Barnet,39335.48 ,30535.47 
E01000252,Barnet 002E,E09000003,Barnet,43781.06 ,33983.80 
E01000253,Barnet 007B,E09000003,Barnet,72183.95 ,56058.14 
E01000254,Barnet 001D,E09000003,Barnet,63128.04 ,49020.01 
E01000255,Barnet 017A,E09000003,Barnet,40421.19 ,31376.60 
E01000256,Barnet 016A,E09000003,Barnet,55214.68 ,42869.85 
E01000257,Barnet 017B,E09000003,Barnet,31707.12 ,24625.53 
E01000258,Barnet 016B,E09000003,Barnet,54659.57 ,42438.43 
E01000259,Barnet 025D,E09000003,Barnet,45907.70 ,35636.59 
E01000260,Barnet 025E,E09000003,Barnet,40870.41 ,31724.63 
E01000261,Barnet 017C,E09000003,Barnet,60419.75 ,46915.16 
E01000262,Barnet 017D,E09000003,Barnet,42419.01 ,32924.38 
E01000263,Barnet 016C,E09000003,Barnet,79007.12 ,61361.01 
E01000264,Barnet 016D,E09000003,Barnet,41096.13 ,31899.50 
E01000265,Barnet 011A,E09000003,Barnet,36858.37 ,28616.36 
E01000266,Barnet 011B,E09000003,Barnet,65149.36 ,50590.95 
E01000267,Barnet 005A,E09000003,Barnet,53127.28 ,41247.55 
E01000268,Barnet 005B,E09000003,Barnet,40831.95 ,31694.83 
E01000269,Barnet 005C,E09000003,Barnet,51005.15 ,39598.26 
E01000270,Barnet 005D,E09000003,Barnet,55088.75 ,42771.98 
E01000271,Barnet 008A,E09000003,Barnet,56857.90 ,44146.94 
E01000272,Barnet 008B,E09000003,Barnet,74578.84 ,57919.41 
E01000273,Barnet 008C,E09000003,Barnet,45089.88 ,35000.99 
E01000274,Barnet 011C,E09000003,Barnet,38657.18 ,30009.96 
E01000275,Barnet 012A,E09000003,Barnet,51762.74 ,40187.05 
E01000276,Barnet 020A,E09000003,Barnet,71693.45 ,55676.93 
E01000277,Barnet 012B,E09000003,Barnet,37775.68 ,29327.04 
E01000278,Barnet 020B,E09000003,Barnet,70439.29 ,54702.21 
E01000279,Barnet 007C,E09000003,Barnet,85297.71 ,66249.97 
E01000280,Barnet 007D,E09000003,Barnet,77277.25 ,60016.58 
E01000281,Barnet 008D,E09000003,Barnet,38816.93 ,30133.73 
E01000282,Barnet 008E,E09000003,Barnet,59498.35 ,46199.06 
E01000283,Barnet 012C,E09000003,Barnet,73307.53 ,56931.37 
E01000284,Barnet 012D,E09000003,Barnet,39432.02 ,30610.26 
E01000285,Barnet 004A,E09000003,Barnet,39954.29 ,31014.88 
E01000286,Barnet 007E,E09000003,Barnet,35006.39 ,27181.58 
E01000287,Barnet 004B,E09000003,Barnet,34772.10 ,27000.07 
E01000288,Barnet 004C,E09000003,Barnet,42269.26 ,32808.36 
E01000289,Barnet 004D,E09000003,Barnet,27820.02 ,21614.07 
E01000290,Barnet 007F,E09000003,Barnet,39584.08 ,30728.07 
E01000291,Barnet 004E,E09000003,Barnet,29147.86 ,22642.79 
E01000292,Barnet 001E,E09000003,Barnet,46725.34 ,36272.06 
E01000293,Barnet 001F,E09000003,Barnet,57684.69 ,44789.51 
E01000294,Barnet 004F,E09000003,Barnet,43666.16 ,33894.50 
E01000295,Barnet 023B,E09000003,Barnet,53443.68 ,41493.45 
E01000296,Barnet 023C,E09000003,Barnet,45754.63 ,35517.63 
E01000297,Barnet 027D,E09000003,Barnet,39857.29 ,30939.73 
E01000298,Barnet 023D,E09000003,Barnet,44409.90 ,34472.52 
E01000299,Barnet 019A,E09000003,Barnet,39036.30 ,30303.68 
E01000300,Barnet 019B,E09000003,Barnet,47065.92 ,36536.75 
E01000301,Barnet 020C,E09000003,Barnet,64237.65 ,49882.38 
E01000302,Barnet 019C,E09000003,Barnet,39786.32 ,30884.74 
E01000303,Barnet 020D,E09000003,Barnet,61407.38 ,47682.73 
E01000304,Barnet 020E,E09000003,Barnet,46018.48 ,35722.69 
E01000305,Barnet 036B,E09000003,Barnet,31167.96 ,24207.82 
E01000306,Barnet 036C,E09000003,Barnet,36129.76 ,28051.89 
E01000307,Barnet 039D,E09000003,Barnet,33948.37 ,26361.90 
E01000308,Barnet 036D,E09000003,Barnet,24739.65 ,19227.61 
E01000309,Barnet 031D,E09000003,Barnet,45767.61 ,35527.72 
E01000310,Barnet 034C,E09000003,Barnet,38347.54 ,29770.08 
E01000311,Barnet 034D,E09000003,Barnet,66452.71 ,51603.90 
E01000312,Barnet 036E,E09000003,Barnet,31578.55 ,24525.92 
E01000313,Barnet 036F,E09000003,Barnet,33802.14 ,26248.61 
E01000314,Barnet 032F,E09000003,Barnet,47919.64 ,37200.24 
E01000315,Barnet 022F,E09000003,Barnet,31936.99 ,24803.61 
E01000316,Barnet 027E,E09000003,Barnet,38502.67 ,29890.26 
E01000317,Barnet 019D,E09000003,Barnet,46146.39 ,35822.10 
E01000318,Barnet 019E,E09000003,Barnet,44856.77 ,34819.83 
E01000319,Barnet 027F,E09000003,Barnet,52430.54 ,40706.06 
E01000320,Barnet 011D,E09000003,Barnet,49636.20 ,38534.33 
E01000321,Barnet 012E,E09000003,Barnet,41860.20 ,32491.45 
E01000322,Barnet 011E,E09000003,Barnet,40279.88 ,31267.12 
E01000323,Barnet 019F,E09000003,Barnet,38290.50 ,29725.88 
E01000324,Barnet 015F,E09000003,Barnet,45067.24 ,34983.40 
E01033572,Barnet 030E,E09000003,Barnet,36032.60 ,27976.62 
E01033573,Barnet 030F,E09000003,Barnet,37006.81 ,28731.37 
E01000325,Bexley 014A,E09000004,Bexley,53950.04 ,43467.65 
E01000326,Bexley 014B,E09000004,Bexley,43062.22 ,34670.00 
E01000327,Bexley 017A,E09000004,Bexley,52476.22 ,42276.77 
E01000328,Bexley 017B,E09000004,Bexley,45444.20 ,36594.70 
E01000329,Bexley 017C,E09000004,Bexley,38739.63 ,31178.98 
E01000330,Bexley 017D,E09000004,Bexley,37031.38 ,29818.28 
E01000331,Bexley 017E,E09000004,Bexley,34390.39 ,27714.63 
E01000332,Bexley 005A,E09000004,Bexley,37694.72 ,30346.67 
E01000333,Bexley 003A,E09000004,Bexley,33258.29 ,26812.86 
E01000334,Bexley 006A,E09000004,Bexley,40881.09 ,32907.59 
E01000335,Bexley 003B,E09000004,Bexley,31726.88 ,25593.03 
E01000336,Bexley 003C,E09000004,Bexley,29772.44 ,24036.23 
E01000337,Bexley 003D,E09000004,Bexley,36422.99 ,29333.68 
E01000338,Bexley 003E,E09000004,Bexley,36405.86 ,29320.03 
E01000339,Bexley 025A,E09000004,Bexley,42634.05 ,34324.03 
E01000340,Bexley 018A,E09000004,Bexley,38864.77 ,31278.66 
E01000341,Bexley 022A,E09000004,Bexley,44606.34 ,35917.69 
E01000342,Bexley 022B,E09000004,Bexley,43488.84 ,35014.72 
E01000343,Bexley 022C,E09000004,Bexley,44800.09 ,36074.24 
E01000344,Bexley 025B,E09000004,Bexley,47226.47 ,38034.83 
E01000345,Bexley 022D,E09000004,Bexley,51936.08 ,41840.32 
E01000346,Bexley 021A,E09000004,Bexley,45089.20 ,36307.85 
E01000347,Bexley 021B,E09000004,Bexley,38224.98 ,30769.04 
E01000348,Bexley 020A,E09000004,Bexley,59971.76 ,48333.37 
E01000349,Bexley 020B,E09000004,Bexley,53963.66 ,43478.66 
E01000350,Bexley 021C,E09000004,Bexley,47347.57 ,38132.68 
E01000351,Bexley 024A,E09000004,Bexley,45307.56 ,36484.30 
E01000352,Bexley 021D,E09000004,Bexley,40168.53 ,32331.81 
E01000353,Bexley 011A,E09000004,Bexley,52086.20 ,41961.62 
E01000354,Bexley 011B,E09000004,Bexley,37948.04 ,30548.44 
