lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,IMD_Rank,IMD_Decile,LSOA01NM,LADcd,LADnm,IMDScore,IMDRank0,IMDDec0,IncScore,IncRank,IncDec,EmpScore,EmpRank,EmpDec,EduScore,EduRank,EduDec,HDDScore,HDDRank,HDDDec,CriScore,CriRank,CriDec,BHSScore,BHSRank,BHSDec,EnvScore,EnvRank,EnvDec,IDCScore,IDCRank,IDCDec,IDOScore,IDORank,IDODec,CYPScore,CYPRank,CYPDec,ASScore,ASRank,ASDec,GBScore,GBRank,GBDec,WBScore,WBRank,WBDec,IndScore,IndRank,IndDec,OutScore,OutRank,OutDec,TotPop,DepChi,Pop16_59,Pop60_,WorkPop,Shape__Are,Shape__Len,SpatialSeparationAccessibility,Gravity_Accessibility,Log_SpatialSeparation,Log_Gravity,Shape_Length,Shape_Area,ReciprocalSpatialSeparation,IMD_Decile2,Gravity_Accessibility_Decile,Pop_Den
E01032743,Ealing 010F,Ealing 010F,97428.85913,1425.140415,9353,3,Ealing 010F,E09000009,Ealing,27.393,9353,3,0.189,7421,3,0.119,9824,3,12.956,19086,6,-0.184,18897,6,0.125,14736,5,47.327,655,1,18.744,16234,5,0.22,8745,3,0.338,3358,2,-0.279,20657,7,0.294,16590,6,-0.456,23364,8,5.974,330,1,-0.43,22983,7,0.83,5400,2,2384,785,1469,130,1433.5,251489.512,2289.271808,89.97773807,0.624937574,4.499562285,-0.470103516,0.017349438,1.26252E-05,0.01111386,10,1,9479.520562
E01032744,Ealing 010G,Ealing 010G,199751.0428,2810.446842,6338,2,Ealing 010G,E09000009,Ealing,33.801,6338,2,0.202,6557,2,0.115,10391,4,18.899,14469,5,0.677,7090,3,1.055,3113,1,40.664,2005,1,27.336,10345,4,0.232,7944,3,0.31,4279,2,-0.078,17383,6,0.341,11587,4,-0.657,26326,9,5.222,776,1,-0.582,24935,8,1.638,1190,1,1532,364,887,281,869.75,515641.3437,4515.624546,87.72920329,8.056646645,4.474254835,2.086497421,0.033055812,2.58852E-05,0.011398713,10,10,2971.057342
E01032764,Tower Hamlets 004E,Tower Hamlets 004E,324746.0797,4668.783827,12594,4,Tower Hamlets 004E,E09000030,Tower Hamlets,22.225,12594,4,0.122,13422,5,0.06,21514,7,6.505,25596,8,0.294,11712,4,0.817,5234,2,38.238,2752,1,30.682,8420,3,0.258,6465,2,0.425,1433,1,-0.263,20415,7,0.167,29740,10,-0.057,16676,6,4.331,1899,1,-0.492,23818,8,1.821,716,1,2066,269,1679,118,1695.25,838256.6852,7501.844608,69.86570877,15.83761126,4.246574953,2.76238757,0.054450163,4.2078E-05,0.014313173,10,10,2464.638859
E01032765,Tower Hamlets 004F,Tower Hamlets 004F,81800.25117,2251.636547,8918,3,Tower Hamlets 004F,E09000030,Tower Hamlets,28.215,8918,3,0.209,6127,2,0.12,9640,3,20.301,13600,5,0.388,10509,4,0.091,15257,5,33.982,4582,2,22.205,13719,5,0.382,1809,1,0.394,1998,1,0.359,10633,4,0.293,16698,6,-0.567,25025,8,4.377,1836,1,-1.313,30844,10,1.493,1651,1,1801,285,1378,138,1374.25,211129.4778,3617.130616,66.91357175,7.069274502,4.203401813,1.955757858,0.027045546,1.05986E-05,0.014944651,10,10,8530.310494
E01032766,Tower Hamlets 021E,Tower Hamlets 021E,79883.74061,1339.869383,14542,5,Tower Hamlets 021E,E09000030,Tower Hamlets,19.785,14542,5,0.127,12899,4,0.045,26345,9,13.234,18841,6,-0.241,19731,7,0.32,11632,4,34.113,4517,2,41.577,3772,2,0.323,3484,2,0.42,1515,1,0.326,11067,4,0.162,30041,10,-1.596,32290,10,4.747,1313,1,0.09,15029,5,2.12,251,1,1534,226,1248,60,1268.75,206022.3224,2151.427533,60.50249034,21.79099788,4.102684527,3.081496943,0.01622987,1.03464E-05,0.016528245,10,10,7445.795107
E01032767,Tower Hamlets 021F,Tower Hamlets 021F,133662.5432,1812.733471,22328,7,Tower Hamlets 021F,E09000030,Tower Hamlets,11.859,22328,7,0.05,26253,8,0.018,32387,10,7.964,23989,8,-0.335,21197,7,-0.771,27013,9,27.524,8817,3,46.728,2504,1,0.299,4426,2,0.278,5599,2,-0.011,16279,5,0.06,32724,10,-1.213,31095,10,3.835,2778,1,0.681,6981,3,1.673,1083,1,2341,109,2163,69,2195.25,344701.2075,2911.219486,60.14079917,172.409264,4.096688466,5.149871092,0.021176477,1.73113E-05,0.016627647,10,10,6791.389032
E01032768,Tower Hamlets 025E,Tower Hamlets 025E,69880.21284,1208.274733,21107,7,Tower Hamlets 025E,E09000030,Tower Hamlets,12.944,21107,7,0.025,31644,10,0.015,32573,10,1.094,31916,10,-0.382,21887,7,0.542,8510,3,33.227,4975,2,43.494,3296,2,0.086,21345,7,0.112,18362,6,-1.083,29986,10,0.067,32668,10,-0.041,16388,5,3.579,3232,1,0.368,10970,4,1.915,545,1,1586,184,1330,72,1370,180198.8553,1940.026245,68.33498028,1.499788061,4.224421792,0.405323806,0.014647732,9.05011E-06,0.014633794,10,1,8801.387761
E01032769,Tower Hamlets 025F,Tower Hamlets 025F,103713.0994,1863.650149,16124,5,Tower Hamlets 025F,E09000030,Tower Hamlets,17.995,16124,5,0.108,15268,5,0.044,26766,9,5.062,27217,9,-0.246,19811,7,1.053,3127,1,26.218,9968,4,36.588,5546,2,0.196,10329,4,0.337,3393,2,-0.391,22338,7,0.145,30884,10,-0.631,25959,8,3.247,3863,2,-0.428,22947,7,2.228,141,1,1450,249,1092,109,1130.5,267444.8149,2991.767495,67.60515458,5.767166716,4.213684231,1.752180923,0.023132433,1.34318E-05,0.014791772,10,10,5421.679237
E01032770,Tower Hamlets 032B,Tower Hamlets 032B,43909.85005,1487.5429,17320,6,Tower Hamlets 032B,E09000030,Tower Hamlets,16.648,17320,6,0.133,12243,4,0.058,22131,7,4.763,27591,9,0.118,14239,5,0.041,16021,5,30.24,6803,3,21.83,13962,5,0.21,9421,3,0.502,639,1,-0.415,22689,7,0.136,31222,10,-0.767,27609,9,4.025,2418,1,-0.258,20501,7,0.957,4448,2,1420,274,1047,99,1062,113164.285,2387.316757,65.13800043,1.194458194,4.176508103,0.177692689,0.018462934,5.68508E-06,0.015352022,10,1,12548.12859
E01032771,Tower Hamlets 033B,Tower Hamlets 033B,353148.2278,3562.204445,20860,7,Tower Hamlets 033B,E09000030,Tower Hamlets,13.182,20860,7,0.109,15080,5,0.055,23146,8,9.051,22803,7,-0.575,24384,8,-2.249,32770,10,33.139,5006,2,19.383,15752,5,0.208,9525,3,0.244,7234,3,0.001,16088,5,0.161,30083,10,-0.449,23249,8,4.145,2191,1,0.462,9706,3,-0.868,28189,9,1542,281,1202,59,1209,910329.0652,5718.516629,54.90128684,1080.838512,4.005536788,6.985492419,0.042806009,4.57277E-05,0.018214509,10,10,1693.892966
E01032772,Tower Hamlets 032C,Tower Hamlets 032C,83042.80339,1780.040566,11466,4,Tower Hamlets 032C,E09000030,Tower Hamlets,23.845,11466,4,0.161,9542,3,0.081,16023,5,6.559,25528,8,0.456,9637,3,0.397,10497,4,35.326,3924,2,30.05,8778,3,0.258,6478,2,0.592,233,1,-0.601,25255,8,0.23,23941,8,-1.009,29866,10,4.781,1264,1,-0.176,19249,6,1.55,1459,1,1644,184,1350,110,1331.5,214032.728,2857.460203,63.9363782,2.514826958,4.157888498,0.922203997,0.021270851,1.07521E-05,0.015640548,10,1,7681.06829
E01032773,Tower Hamlets 032D,Tower Hamlets 032D,33914.3549,1044.489423,19572,6,Tower Hamlets 032D,E09000030,Tower Hamlets,14.374,19572,6,0.112,14738,5,0.037,28681,9,7.106,24940,8,-0.543,23973,8,-1.071,29625,10,41.832,1702,1,21.087,14492,5,0.39,1658,1,0.249,6987,3,-0.161,18771,6,0.15,30655,10,-0.537,24616,8,5.274,734,1,0.039,15828,5,0.494,8477,3,3102,377,2627,98,2655.5,87404.12195,1676.354983,63.88030282,3.235420823,4.157011064,1.174159004,0.012872774,4.39094E-06,0.015654278,10,1,35490.31706
E01032774,Tower Hamlets 032E,Tower Hamlets 032E,204297.1481,2482.830398,7916,3,Tower Hamlets 032E,E09000030,Tower Hamlets,30.236,7916,3,0.189,7419,3,0.121,9525,3,27.345,9669,3,0.738,6497,2,-0.021,17007,6,36.445,3435,2,23.299,12927,4,0.229,8159,3,0.532,449,1,0.928,4317,2,0.254,21206,7,-0.452,23301,8,4.593,1532,1,0.081,15185,5,0.665,6806,3,1466,376,1012,78,1001,526450.9143,3985.855043,65.69419998,24.22667996,4.185010641,3.187454503,0.028882502,2.6449E-05,0.015222044,10,10,2784.685068
E01032775,Tower Hamlets 031F,Tower Hamlets 031F,32986.44308,1336.807655,25292,8,Tower Hamlets 031F,E09000030,Tower Hamlets,9.375,25292,8,0.046,27216,9,0.028,31102,10,13.129,18922,6,-0.206,19212,6,-0.965,28814,9,24.965,11148,4,26.259,11011,4,0.114,17761,6,0.137,15382,5,0.377,10398,4,0.097,32221,10,-1.048,30151,10,3.331,3701,2,0.163,13919,5,0.831,5395,2,1214,183,954,77,956.25,84993.19779,2146.947083,65.66165176,0.701096441,4.184515068,-0.355109825,0.014401169,4.27033E-06,0.015229589,10,1,14283.49599
E01032776,Tower Hamlets 028E,Tower Hamlets 028E,83533.20015,1613.406993,24799,8,Tower Hamlets 028E,E09000030,Tower Hamlets,9.775,24799,8,0.029,30953,10,0.013,32658,10,6.132,26033,8,-0.505,23493,8,-0.232,20097,7,31.813,5773,2,32.528,7451,3,0.111,18081,6,0.147,14430,5,-0.197,19351,6,0.086,32410,10,-0.658,26338,9,4.154,2172,1,-0.296,21087,7,1.821,714,1,1602,171,1393,38,1439.5,215371.5941,2589.968157,64.92521128,9.280117514,4.173236012,2.22787421,0.02001611,1.08174E-05,0.015402337,10,10,7438.306834
E01032777,Tower Hamlets 028F,Tower Hamlets 028F,113109.8264,1895.651002,15657,5,Tower Hamlets 028F,E09000030,Tower Hamlets,18.527,15657,5,0.121,13510,5,0.07,18860,6,8.4,23529,8,0.035,15462,5,-0.704,26260,8,41.007,1926,1,21.429,14240,5,0.222,8599,3,0.236,7778,3,-0.087,17510,6,0.173,29299,9,0.319,10499,4,4.02,2435,1,-0.663,25917,8,1.223,2814,1,1586,244,1272,70,1268,291658.247,3043.94063,64.8293888,66.86495482,4.171759031,4.202674986,0.022503404,1.46484E-05,0.015425103,10,10,5437.871263
E01032778,Tower Hamlets 028G,Tower Hamlets 028G,306326.7509,4149.551577,16614,6,Tower Hamlets 028G,E09000030,Tower Hamlets,17.421,16614,6,0.057,24431,8,0.03,30655,10,10.553,21307,7,-0.289,20479,7,0.395,10526,4,34.053,4550,2,54.269,1275,1,0.162,12928,4,0.102,19788,7,0.185,13128,4,0.098,32193,10,0.004,15599,5,3.62,3146,1,0.671,7082,3,2.267,121,1,1135,159,918,58,944.25,789901.0058,6663.511776,64.71433968,13.09263906,4.16998281,2.572050169,0.049067191,3.96716E-05,0.015452526,10,10,1436.888916
E01032779,Tower Hamlets 028H,Tower Hamlets 028H,28286.04929,1005.931993,16738,6,Tower Hamlets 028H,E09000030,Tower Hamlets,17.288,16738,6,0.085,18664,6,0.042,27433,9,11.677,20253,7,-0.284,20410,7,-0.926,28494,9,33.827,4664,2,53.514,1361,1,0.198,10175,4,0.128,16408,5,0.252,12121,4,0.126,31528,10,0.023,15289,5,3.553,3289,2,0.9,4710,2,1.761,868,1,1614,281,1287,46,1269.25,72922.55675,1615.513342,63.83659501,1.268643532,4.156326615,0.237948245,0.011507516,3.66284E-06,0.015664996,10,1,22133.06927
E01032780,Tower Hamlets 028I,Tower Hamlets 028I,352538.7316,3498.817675,17778,6,Tower Hamlets 028I,E09000030,Tower Hamlets,16.174,17778,6,0.068,22013,7,0.023,31959,10,3.267,29420,9,-0.375,21797,7,-0.142,18773,6,30.691,6476,2,63.287,412,1,0.185,11116,4,0.223,8460,3,-0.552,24630,8,0.044,32828,10,0.101,13911,5,2.765,4924,2,1.205,2418,1,1.811,752,1,1675,206,1399,70,1375.5,908787.4996,5617.786983,65.46400754,34.41970351,4.181500488,3.538629177,0.041024875,4.56494E-05,0.01527557,10,10,1843.115141
E01032781,Tower Hamlets 033C,Tower Hamlets 033C,54367.93229,1947.745786,21416,7,Tower Hamlets 033C,E09000030,Tower Hamlets,12.666,21416,7,0.103,15950,5,0.049,25130,8,3.319,29362,9,-0.206,19222,6,-0.594,25023,8,24.832,11289,4,30.821,8355,3,0.232,7922,3,0.298,4771,2,-0.587,25070,8,0.102,32106,10,-1.229,31171,10,3.372,3614,2,0.04,15804,5,1.38,2080,1,1785,288,1393,104,1378,140128.4131,3128.036728,62.65350372,6.079266181,4.137619605,1.804883995,0.021470664,7.0394E-06,0.015960799,10,10,12738.31595
E01032782,Tower Hamlets 033D,Tower Hamlets 033D,75507.73931,1821.888137,14749,5,Tower Hamlets 033D,E09000030,Tower Hamlets,19.565,14749,5,0.099,16390,5,0.048,25283,8,13.709,18407,6,-0.173,18715,6,-0.553,24499,8,43.595,1303,1,40.599,4073,2,0.293,4717,2,0.223,8460,3,0.228,12472,4,0.215,25625,8,-0.894,28894,9,5.784,423,1,0.644,7405,3,1.274,2580,1,2436,320,2046,70,2013.5,194629.5809,2925.969314,61.59659685,12.76972822,4.120606623,2.547077387,0.020209773,9.77691E-06,0.016234663,10,10,12516.08306
E01032783,Tower Hamlets 031G,Tower Hamlets 031G,82073.43041,2177.232473,16421,5,Tower Hamlets 031G,E09000030,Tower Hamlets,17.654,16421,5,0.148,10649,4,0.068,19180,6,8.355,23572,8,0.042,15361,5,-0.035,17212,6,26.271,9917,4,24.037,12385,4,0.262,6214,2,0.556,334,1,-0.079,17400,6,0.169,29601,10,-1.131,30679,10,3.599,3195,1,0.109,14767,5,0.698,6508,2,1498,184,1175,139,1184.75,211459.8301,3494.99783,64.56541625,3.291587116,4.167678915,1.191369855,0.025615953,1.06247E-05,0.015488168,10,1,7084.087786
E01032784,Tower Hamlets 004G,Tower Hamlets 004G,64525.70296,1808.758121,12196,4,Tower Hamlets 004G,E09000030,Tower Hamlets,22.78,12196,4,0.129,12658,4,0.057,22534,7,6.692,25386,8,0.815,5757,2,0.627,7363,3,35.167,4009,2,28.936,9415,3,0.245,7183,3,0.526,489,1,-0.275,20591,7,0.177,29006,9,-0.839,28366,9,4.702,1377,1,0.141,14261,5,1.101,3489,2,1790,280,1412,98,1435.5,166531.2071,2905.443172,65.09788987,2.135229874,4.175892135,0.75857431,0.021928137,8.36006E-06,0.015361481,10,1,10748.73611
E01032785,Tower Hamlets 010E,Tower Hamlets 010E,72773.1117,1320.369817,13712,5,Tower Hamlets 010E,E09000030,Tower Hamlets,20.779,13712,5,0.156,9910,4,0.071,18462,6,4.783,27568,9,-0.231,19599,6,-0.474,23414,8,31.038,6251,2,49.045,2065,1,0.265,6106,2,0.307,4415,2,-0.421,22768,7,0.14,31059,10,-0.643,26121,8,4.047,2376,1,1.057,3429,2,1.065,3694,2,2153,564,1511,78,1515.25,187799.9394,2121.311406,65.06997532,2.472911062,4.175463234,0.905396024,0.015350043,9.4282E-06,0.015368071,10,1,11464.32745
E01032786,Tower Hamlets 010F,Tower Hamlets 010F,55613.2619,1276.631168,9758,3,Tower Hamlets 010F,E09000030,Tower Hamlets,26.705,9758,3,0.198,6766,3,0.132,8275,3,15.966,16614,6,0.264,12129,4,0.152,14275,5,27.553,8794,3,25.914,11212,4,0.237,7653,3,0.3,4704,2,-0.111,17922,6,0.312,14623,5,-1.271,31362,10,3.855,2743,1,-0.853,27795,9,1.653,1145,1,1589,442,1007,140,993.25,143526.6165,2050.981625,63.87415923,2.112014991,4.156914886,0.747642464,0.015083825,7.20527E-06,0.015655783,10,1,11071.11725
E01032787,Tower Hamlets 011F,Tower Hamlets 011F,107003.4386,1934.470127,6192,2,Tower Hamlets 011F,E09000030,Tower Hamlets,34.191,6192,2,0.264,3443,2,0.136,7888,3,27.342,9671,3,0.01,15846,5,0.931,4120,2,31.894,5724,2,24.545,12058,4,0.303,4261,2,0.535,432,1,-0.136,18359,6,0.429,5038,2,-1.389,31815,10,4.468,1715,1,-0.985,28940,9,1.601,1309,1,2482,646,1609,227,1593.75,276093.762,3108.023022,60.17177589,4.225226922,4.097203403,1.441072969,0.022017552,1.38619E-05,0.016619087,10,3,8989.699666
E01032788,Hammersmith and Fulham 023D,Hammersmith and Fulham 023D,116057.1946,1889.53113,9722,3,Hammersmith and Fulham 023D,E09000013,Hammersmith and Fulham,26.761,9722,3,0.193,7081,3,0.099,12691,4,10.815,21071,7,0.486,9257,3,0.787,5560,2,26.463,9739,3,30.831,8348,3,0.274,5656,2,0.446,1133,1,0.064,15019,5,0.195,27554,9,-1.006,29838,10,3.579,3234,1,-0.268,20635,7,1.68,1059,1,1177,229,849,99,856,298748.9061,3032.071893,69.47754173,4.054420824,4.24100356,1.399807847,0.021904152,1.50178E-05,0.01439314,10,1,3939.76338
E01032789,Hammersmith and Fulham 023E,Hammersmith and Fulham 023E,30623.77378,754.8268784,16892,6,Hammersmith and Fulham 023E,E09000013,Hammersmith and Fulham,17.108,16892,6,0.087,18362,6,0.047,25508,8,4.772,27583,9,-0.516,23643,8,-0.576,24813,8,30.246,6800,3,61.169,585,1,0.154,13678,5,0.145,14640,5,-0.398,22456,7,0.126,31520,10,-0.815,28137,9,4.053,2364,1,1.267,2060,1,1.505,1608,1,1489,283,1103,103,1095.5,78844.66391,1211.579327,68.04772133,4.286320119,4.220209243,1.455428584,0.008453588,3.96306E-06,0.014695569,10,4,18885.23492
E01032790,Hammersmith and Fulham 023F,Hammersmith and Fulham 023F,74666.52456,2004.891919,16130,5,Hammersmith and Fulham 023F,E09000013,Hammersmith and Fulham,17.986,16130,5,0.123,13323,5,0.052,23965,8,4.254,28228,9,-0.065,17000,6,-0.532,24211,8,31.595,5915,2,46.437,2569,1,0.184,11195,4,0.241,7440,3,-0.535,24420,8,0.156,30349,10,-0.456,23374,8,3.954,2552,1,0.84,5255,2,1.344,2240,1,1362,311,879,172,873.5,192217.5995,3218.281231,69.75792363,9.239563957,4.245031015,2.223494694,0.021883222,9.66224E-06,0.014335289,10,10,7085.719536
E01032803,Southwark 003J,Southwark 003J,60603.82445,1253.661742,17880,6,Southwark 003J,E09000028,Southwark,16.067,17880,6,0.087,18347,6,0.039,28160,9,2.523,30293,10,0.341,11084,4,-0.077,17793,6,30.436,6654,3,39.922,4283,2,0.283,5159,2,0.59,242,1,-0.702,26526,9,0.078,32555,10,-1.038,30071,10,4.177,2144,1,0.496,9244,3,1.472,1727,1,1314,127,1153,34,1162.25,156204.4038,2012.458412,60.47327676,29.41516387,4.102201561,3.381510319,0.015116063,7.847E-06,0.01653623,10,10,8412.054771
E01032805,Southwark 022F,Southwark 022F,175293.4076,2128.119631,4985,2,Southwark 022F,E09000028,Southwark,37.664,4985,2,0.25,4010,2,0.156,6061,2,19.536,14062,5,0.307,11525,4,0.924,4186,2,35.268,3955,2,41.827,3704,2,0.34,2909,1,0.401,1849,1,0.025,15655,5,0.336,12161,4,-1.592,32279,10,4.873,1147,1,0.219,13033,4,1.984,439,1,2645,528,1809,308,1778.25,451342.3898,3414.665998,71.31939562,1.933590397,4.267168319,0.659378584,0.025255353,2.2685E-05,0.014021431,10,1,5860.295996
E01032834,Southwark 003K,Southwark 003K,33646.36268,1702.907755,25667,8,Southwark 003K,E09000028,Southwark,9.09,25667,8,0.011,32770,10,0.009,32781,10,2.561,30260,10,-0.721,26134,8,-0.522,24082,8,24.269,11860,4,47.629,2320,1,0.053,26859,9,0.07,25200,8,-0.674,26206,8,0.036,32839,10,-0.701,26836,9,2.953,4492,2,0.837,5296,2,1.44,1823,1,1198,62,1012,124,1031.5,86729.12411,2733.756509,60.44261038,16.71458848,4.101694326,2.8162819,0.020660409,4.35668E-06,0.01654462,10,10,13813.12232
